trip_id,stop_id,stop_sequence
0,  2270,  0
0,  978,  1
0,  3005,  2
0,  255,  3
0,  3074,  4
0,  764,  5
0,  619,  6
0,  1973,  7
0,  2502,  8
0,  2871,  9
0,  3039,  10
0,  1462,  11
0,  731,  12
0,  1837,  13
0,  3585,  14
0,  3425,  15
0,  3227,  16
0,  949,  17
0,  953,  18
0,  3092,  19
0,  803,  20
0,  1416,  21
0,  2768,  22
0,  3034,  23
0,  733,  24
0,  703,  25
0,  580,  26
0,  3156,  27
0,  2142,  28
0,  3451,  29
0,  502,  30
0,  341,  31
0,  2809,  32
0,  1653,  33
0,  2945,  34
0,  181,  35
0,  1472,  36
0,  2771,  37
0,  453,  38
0,  3054,  39
0,  52,  40
0,  2035,  41
0,  1025,  42
0,  3195,  43
102,  1900,  0
102,  3333,  1
102,  2499,  2
102,  736,  3
102,  1638,  4
102,  2189,  5
102,  530,  6
102,  2736,  7
102,  2197,  8
102,  3169,  9
102,  1100,  10
102,  2407,  11
136,  91,  0
136,  2639,  1
136,  1339,  2
136,  768,  3
136,  2945,  4
136,  181,  5
136,  1472,  6
136,  2771,  7
136,  453,  8
136,  3054,  9
136,  52,  10
136,  2035,  11
136,  1025,  12
136,  3195,  13
170,  1900,  0
170,  3333,  1
170,  2499,  2
170,  736,  3
170,  1638,  4
170,  2189,  5
170,  530,  6
170,  2736,  7
170,  2197,  8
170,  354,  9
170,  924,  10
170,  71,  11
170,  1139,  12
170,  1311,  13
170,  1872,  14
170,  2882,  15
170,  733,  16
170,  1758,  17
170,  457,  18
170,  1463,  19
170,  203,  20
170,  2529,  21
170,  1684,  22
170,  2255,  23
170,  2709,  24
170,  2392,  25
170,  1118,  26
170,  2122,  27
170,  835,  28
170,  554,  29
170,  2316,  30
170,  1749,  31
170,  1582,  32
170,  171,  33
170,  2034,  34
170,  2830,  35
170,  465,  36
170,  1195,  37
170,  1780,  38
170,  1490,  39
170,  188,  40
170,  2270,  41
272,  2559,  0
272,  1275,  1
272,  2687,  2
272,  3399,  3
272,  1217,  4
272,  2552,  5
272,  748,  6
272,  2952,  7
272,  1770,  8
272,  1367,  9
272,  184,  10
272,  2397,  11
272,  340,  12
272,  2329,  13
272,  228,  14
272,  1480,  15
272,  2878,  16
272,  3419,  17
272,  1081,  18
272,  2468,  19
272,  951,  20
272,  91,  21
272,  2639,  22
272,  768,  23
272,  2945,  24
272,  181,  25
272,  3563,  26
272,  1437,  27
272,  883,  28
272,  1757,  29
272,  3304,  30
272,  1054,  31
272,  150,  32
272,  1697,  33
272,  3400,  34
272,  2401,  35
272,  319,  36
272,  1734,  37
272,  21,  39
272,  935,  40
272,  1812,  41
272,  667,  42
272,  1735,  43
272,  3042,  44
272,  702,  45
272,  300,  46
272,  2863,  47
272,  2648,  48
272,  324,  49
272,  962,  50
272,  2924,  51
272,  2382,  52
272,  1912,  53
300,  91,  0
300,  2639,  1
300,  768,  2
300,  2945,  3
300,  181,  4
300,  3563,  5
300,  1437,  6
300,  883,  7
300,  1757,  8
300,  3304,  9
300,  1054,  10
300,  150,  11
300,  1697,  12
300,  3400,  13
300,  2401,  14
300,  2156,  15
300,  1551,  16
310,  3018,  0
310,  3302,  1
310,  2747,  2
310,  3216,  3
310,  121,  4
310,  2585,  6
310,  529,  7
310,  1009,  8
310,  2104,  9
310,  794,  10
310,  3350,  11
310,  530,  12
310,  2736,  13
310,  2197,  14
310,  3169,  15
310,  1100,  16
310,  2407,  17
320,  1275,  1
320,  2687,  2
320,  3399,  3
320,  1217,  4
320,  2552,  5
