trip_id,stop_id,stop_sequence
0, 2270, 0
0, 978, 1
0, 3005, 2
0, 255, 3
0, 3074, 4
0, 764, 5
0, 619, 6
0, 1973, 7
0, 2502, 8
0, 2871, 9
0, 3039, 10
0, 1462, 11
0, 731, 12
0, 1837, 13
0, 3585, 14
0, 3425, 15
0, 3227, 16
0, 949, 17
0, 953, 18
0, 3092, 19
0, 803, 20
0, 1416, 21
0, 2768, 22
0, 3034, 23
0, 733, 24
0, 703, 25
0, 580, 26
0, 3156, 27
0, 2142, 28
0, 3451, 29
0, 502, 30
0, 341, 31
0, 2809, 32
0, 1653, 33
0, 2945, 34
0, 181, 35
0, 1472, 36
0, 2771, 37
0, 453, 38
0, 3054, 39
0, 52, 40
0, 2035, 41
0, 1025, 42
0, 3195, 43
1, 1900, 0
1, 3333, 1
1, 2499, 2
1, 736, 3
1, 1638, 4
1, 2189, 5
1, 530, 6
1, 2736, 7
1, 2197, 8
1, 3169, 9
1, 1100, 10
1, 2407, 11
2, 91, 0
2, 2639, 1
2, 1339, 2
2, 768, 3
2, 2945, 4
2, 181, 5
2, 1472, 6
2, 2771, 7
2, 453, 8
2, 3054, 9
2, 52, 10
2, 2035, 11
2, 1025, 12
2, 3195, 13
3, 1900, 0
3, 3333, 1
3, 2499, 2
3, 736, 3
3, 1638, 4
3, 2189, 5
3, 530, 6
3, 2736, 7
3, 2197, 8
3, 354, 9
3, 924, 10
3, 71, 11
3, 1139, 12
3, 1311, 13
3, 1872, 14
3, 2882, 15
3, 733, 16
3, 1758, 17
3, 457, 18
3, 1463, 19
3, 203, 20
3, 2529, 21
3, 1684, 22
3, 2255, 23
3, 2709, 24
3, 2392, 25
3, 1118, 26
3, 2122, 27
3, 835, 28
3, 554, 29
3, 2316, 30
3, 1749, 31
3, 1582, 32
3, 171, 33
3, 2034, 34
3, 2830, 35
3, 465, 36
3, 1195, 37
3, 1780, 38
3, 1490, 39
3, 188, 40
3, 2270, 41
4, 2559, 0
4, 1275, 1
4, 2687, 2
4, 3399, 3
4, 1217, 4
4, 2552, 5
4, 748, 6
4, 2952, 7
4, 1770, 8
4, 1367, 9
4, 184, 10
4, 2397, 11
4, 340, 12
4, 2329, 13
4, 228, 14
4, 1480, 15
4, 2878, 16
4, 3419, 17
4, 1081, 18
4, 2468, 19
4, 951, 20
4, 91, 21
4, 2639, 22
4, 768, 23
4, 2945, 24
4, 181, 25
4, 3563, 26
4, 1437, 27
4, 883, 28
4, 1757, 29
4, 3304, 30
4, 1054, 31
4, 150, 32
4, 1697, 33
4, 3400, 34
4, 2401, 35
4, 319, 36
4, 1734, 37
4, 21, 39
4, 935, 40
4, 1812, 41
4, 667, 42
4, 1735, 43
4, 3042, 44
4, 702, 45
4, 300, 46
4, 2863, 47
4, 2648, 48
4, 324, 49
4, 962, 50
4, 2924, 51
4, 2382, 52
4, 1912, 53
5, 91, 0
5, 2639, 1
5, 768, 2
5, 2945, 3
5, 181, 4
5, 3563, 5
5, 1437, 6
5, 883, 7
5, 1757, 8
5, 3304, 9
5, 1054, 10
5, 150, 11
5, 1697, 12
5, 3400, 13
5, 2401, 14
5, 2156, 15
5, 1551, 16
6, 3018, 0
6, 3302, 1
6, 2747, 2
6, 3216, 3
6, 121, 4
6, 2585, 6
6, 529, 7
6, 1009, 8
6, 2104, 9
6, 794, 10
6, 3350, 11
6, 530, 12
6, 2736, 13
6, 2197, 14
6, 3169, 15
6, 1100, 16
6, 2407, 17
6, 1275, 1
6, 2687, 2
6, 3399, 3
6, 1217, 4
6, 2552, 5
